Upwind;Solexacte
5.3624e-08;8.19132e-09
-8.37224e-08;1.4777e-08
-1.37344e-07;2.63924e-08
-5.35591e-08;4.66688e-08
8.44295e-08;8.17018e-08
1.42297e-07;1.4161e-07
7.86939e-08;2.43003e-07
1.42976e-08;4.12847e-07
1.71579e-07;6.9442e-07
7.56735e-07;1.15641e-06
1.90145e-06;1.9066e-06
3.71509e-06;3.11217e-06
6.40172e-06;5.02951e-06
1.03675e-05;8.04718e-06
1.62916e-05;1.27473e-05
2.51889e-05;1.99918e-05
3.85084e-05;3.10414e-05
5.82915e-05;4.77186e-05
8.73952e-05;7.26259e-05
0.000129785;0.000109434
0.000190905;0.000163256
0.000278142;0.000241127
0.000401398;0.000352596
0.000573774;0.000510465
0.00081239;0.000731664
0.00113932;0.00103828
0.00158267;0.00145873
0.00217766;0.00202905
0.00296791;0.00279426
0.00400655;0.00380976
0.00535735;0.00514264
0.00709563;0.00687277
0.00930876;0.00909356
0.0120963;0.0119122
0.0155696;0.0154493
0.01985;0.0198373
0.0250673;0.0252182
0.0313556;0.0317397
0.0388494;0.03955
0.0476777;0.048792
0.0579575;0.0595947
0.0697857;0.0720648
0.0832311;0.0862773
0.0983259;0.102265
0.115057;0.120009
0.133359;0.139431
0.153106;0.160383
0.174112;0.182649
0.196122;0.205936
0.218821;0.229882
0.241833;0.254059
0.264732;0.277985
0.287052;0.301137
0.308303;0.322972
0.32799;0.342944
0.345627;0.360527
0.360759;0.37524
0.372986;0.386668
0.381972;0.394479
0.387467;0.398444
0.389317;0.398444
0.387467;0.394479
0.381972;0.386668
0.372986;0.37524
0.360759;0.360527
0.345626;0.342944
0.32799;0.322972
0.308303;0.301137
0.287052;0.277985
0.264732;0.254059
0.241833;0.229882
0.218821;0.205936
0.196122;0.182649
0.174112;0.160383
0.153106;0.139431
0.133359;0.120009
0.115057;0.102265
0.0983259;0.0862773
0.0832311;0.0720649
0.0697857;0.0595947
0.0579575;0.048792
0.0476777;0.03955
0.0388494;0.0317397
0.0313555;0.0252182
0.0250673;0.0198373
0.01985;0.0154494
0.0155696;0.0119122
0.0120963;0.00909357
0.00930876;0.00687277
0.00709563;0.00514264
0.00535735;0.00380976
0.00400655;0.00279425
0.0029679;0.00202905
0.00217766;0.00145873
0.00158266;0.00103828
0.00113932;0.000731664
0.00081239;0.000510464
0.000573773;0.000352596
0.000401397;0.000241126
0.000278142;0.000163256
0.000190905;0.000109434
