Upwind;sol exacte
-1.96506e-07;1.97732e-08
-1.69751e-07;3.51395e-08
2.67771e-08;6.18261e-08
1.96956e-07;1.07698e-07
1.73989e-07;1.85736e-07
-1.23044e-09;3.17135e-07
-8.56793e-08;5.36103e-07
2.01121e-07;8.97242e-07
1.02754e-06;1.48672e-06
2.45358e-06;2.43896e-06
4.56709e-06;3.9613e-06
7.63117e-06;6.36982e-06
1.21654e-05;1.01409e-05
1.89835e-05;1.59837e-05
2.92551e-05;2.49425e-05
4.46298e-05;3.85352e-05
6.7429e-05;5.8943e-05
0.0001009;8.92617e-05
0.000149543;0.00013383
0.000219518;0.000198655
0.000319154;0.000291947
0.000459579;0.00042478
0.000655464;0.000611902
0.000925906;0.000872682
0.00129543;0.00123222
0.00179512;0.00172257
0.00246377;0.00238409
0.00334918;0.00326682
0.00450928;0.00443185
0.00601322;0.00595253
0.00794215;0.00791545
0.0103896;0.0104209
0.0134615;0.013583
0.0172751;0.0175283
0.0219572;0.0223945
0.0276418;0.028327
0.0344658;0.0354746
0.0425641;0.0439836
0.0520632;0.0539909
0.0630741;0.0656158
0.075684;0.0789501
0.0899478;0.094049
0.105879;0.110921
0.123442;0.129518
0.142544;0.149727
0.163031;0.171369
0.184682;0.194186
0.207211;0.217852
0.230269;0.241971
0.253449;0.266085
0.2763;0.289692
0.298336;0.312254
0.319055;0.333225
0.337954;0.352065
0.354557;0.36827
0.368424;0.381388
0.379179;0.391043
0.386523;0.396953
0.390248;0.398942
0.390248;0.396953
0.386523;0.391043
0.379179;0.381388
0.368424;0.36827
0.354557;0.352065
0.337954;0.333225
0.319054;0.312254
0.298336;0.289692
0.2763;0.266085
0.253449;0.241971
0.230269;0.217852
0.207211;0.194186
0.184682;0.171369
0.163031;0.149727
0.142544;0.129518
0.123442;0.110921
0.105879;0.0940491
0.0899478;0.0789502
0.075684;0.0656158
0.0630741;0.053991
0.0520632;0.0439836
0.0425641;0.0354746
0.0344658;0.028327
0.0276418;0.0223946
0.0219572;0.0175283
0.0172751;0.013583
0.0134615;0.0104209
0.0103896;0.00791545
0.00794215;0.00595254
0.00601322;0.00443185
0.00450928;0.00326682
0.00334918;0.00238409
0.00246377;0.00172257
0.00179511;0.00123222
0.00129543;0.000872683
0.000925906;0.000611901
0.000655464;0.000424781
0.000459579;0.000291947
0.000319154;0.000198656
0.000219518;0.00013383
0.000149543;8.92615e-05
0.0001009;5.89431e-05
