Upwind;sol exacte
-2.44171e-07;2.63924e-08
-9.53316e-08;4.66688e-08
1.48886e-07;8.17018e-08
2.45026e-07;1.4161e-07
1.02951e-07;2.43004e-07
-1.05412e-07;4.12847e-07
-6.59463e-08;6.9442e-07
4.68189e-07;1.15641e-06
1.58688e-06;1.9066e-06
3.32029e-06;3.11218e-06
5.81389e-06;5.02951e-06
9.44845e-06;8.04718e-06
1.48823e-05;1.27473e-05
2.30848e-05;1.99918e-05
3.54255e-05;3.10414e-05
5.38342e-05;4.77186e-05
8.10238e-05;7.26259e-05
0.000120777;0.000109434
0.00017831;0.000163256
0.000260726;0.000241126
0.000377583;0.000352596
0.000541575;0.000510465
0.000769353;0.000731664
0.00108246;0.00103828
0.00150841;0.00145873
0.00208183;0.00202905
0.00284572;0.00279426
0.00385265;0.00380976
0.00516592;0.00514264
0.00686052;0.00687277
0.00902378;0.00909356
0.0117555;0.0119122
0.0151675;0.0154493
0.0193826;0.0198373
0.0245318;0.0252182
0.0307518;0.0317397
0.0381799;0.03955
0.0469484;0.048792
0.0571781;0.0595947
0.0689702;0.0720649
0.0823979;0.0862773
0.0974977;0.102265
0.114261;0.120009
0.132624;0.139431
0.152465;0.160383
0.173597;0.182649
0.195767;0.205936
0.218655;0.229882
0.241882;0.254059
0.265016;0.277985
0.287584;0.301137
0.309088;0.322972
0.329021;0.342944
0.346888;0.360527
0.362226;0.37524
0.374622;0.386668
0.383736;0.394479
0.38931;0.398444
0.391186;0.398444
0.38931;0.394479
0.383736;0.386668
0.374622;0.37524
0.362226;0.360527
0.346888;0.342944
0.329021;0.322972
0.309088;0.301137
0.287584;0.277985
0.265016;0.254059
0.241882;0.229882
0.218655;0.205936
0.195767;0.182649
0.173597;0.160383
0.152465;0.139431
0.132624;0.120009
0.114261;0.102265
0.0974977;0.0862773
0.0823979;0.0720649
0.0689702;0.0595947
0.057178;0.048792
0.0469484;0.03955
0.0381799;0.0317397
0.0307518;0.0252182
0.0245318;0.0198374
0.0193826;0.0154493
0.0151675;0.0119122
0.0117555;0.00909356
0.00902377;0.00687276
0.00686052;0.00514264
0.00516592;0.00380976
0.00385264;0.00279425
0.00284571;0.00202905
0.00208182;0.00145873
0.0015084;0.00103828
0.00108246;0.000731664
0.000769352;0.000510464
0.000541575;0.000352596
0.000377582;0.000241126
0.000260726;0.000163257
0.00017831;0.000109434
0.000120777;7.26258e-05
8.10237e-05;4.77186e-05
