Upwind;sol exacte
-1.27109e-07;4.66688e-08
1.98453e-07;8.17018e-08
3.25746e-07;1.4161e-07
1.30159e-07;2.43004e-07
-1.74259e-07;4.12847e-07
-2.0329e-07;6.9442e-07
3.17055e-07;1.15641e-06
1.44194e-06;1.9066e-06
3.1466e-06;3.11218e-06
5.54601e-06;5.02951e-06
9.01694e-06;8.04718e-06
1.42139e-05;1.27473e-05
2.20843e-05;1.99918e-05
3.39565e-05;3.10414e-05
5.17046e-05;4.77186e-05
7.79709e-05;7.26259e-05
0.000116449;0.000109434
0.00017224;0.000163256
0.00025231;0.000241127
0.000366043;0.000352596
0.000525933;0.000510465
0.000748391;0.000731665
0.00105469;0.00103828
0.00147206;0.00145873
0.00203481;0.00202905
0.00278563;0.00279426
0.00377679;0.00380976
0.00507136;0.00514264
0.00674415;0.00687276
0.00888242;0.00909356
0.0115861;0.0119122
0.0149674;0.0154493
0.0191494;0.0198374
0.0242642;0.0252182
0.0304495;0.0317397
0.037844;0.03955
0.0465819;0.048792
0.0567857;0.0595947
0.0685589;0.0720649
0.0819771;0.0862773
0.0970786;0.102265
0.113857;0.120009
0.13225;0.139431
0.152138;0.160383
0.173334;0.182649
0.195583;0.205936
0.218567;0.229882
0.241903;0.254059
0.265156;0.277985
0.28785;0.301137
0.309482;0.322972
0.329539;0.342944
0.347523;0.360527
0.362965;0.37524
0.375448;0.386668
0.384627;0.394479
0.390241;0.398444
0.392131;0.398444
0.390241;0.394479
0.384627;0.386668
0.375448;0.37524
0.362965;0.360527
0.347523;0.342944
0.329539;0.322972
0.309482;0.301137
0.28785;0.277985
0.265156;0.254059
0.241903;0.229882
0.218567;0.205936
0.195583;0.182649
0.173334;0.160383
0.152138;0.139431
0.13225;0.120009
0.113857;0.102265
0.0970786;0.0862773
0.081977;0.0720649
0.0685589;0.0595947
0.0567857;0.048792
0.0465819;0.03955
0.037844;0.0317397
0.0304495;0.0252182
0.0242642;0.0198373
0.0191494;0.0154494
0.0149673;0.0119122
0.0115861;0.00909355
0.00888242;0.00687277
0.00674415;0.00514264
0.00507136;0.00380977
0.00377679;0.00279426
0.00278563;0.00202905
0.00203481;0.00145873
0.00147206;0.00103828
0.00105469;0.000731666
0.000748391;0.000510466
0.000525933;0.000352596
0.000366043;0.000241126
0.000252309;0.000163256
0.00017224;0.000109434
0.000116448;7.2626e-05
7.79708e-05;4.77186e-05
5.17046e-05;3.10414e-05
