Upwind;sol exacte
-1.12742e-07;3.17135e-07
-8.28073e-07;5.36104e-07
-6.91823e-07;8.97244e-07
3.38679e-07;1.48672e-06
1.84968e-06;2.43896e-06
3.64736e-06;3.9613e-06
6.03163e-06;6.36983e-06
9.59697e-06;1.01409e-05
1.50842e-05;1.59837e-05
2.34768e-05;2.49425e-05
3.61812e-05;3.85352e-05
5.5215e-05;5.89431e-05
8.34372e-05;8.92617e-05
0.000124851;0.00013383
0.000184991;0.000198655
0.000271419;0.000291947
0.00039433;0.00042478
0.000567294;0.000611902
0.000808139;0.000872683
0.00113997;0.00123222
0.00159232;0.00172257
0.00220241;0.00238409
0.00301645;0.00326682
0.00409095;0.00443185
0.00549392;0.00595254
0.00730585;0.00791545
0.00962033;0.0104209
0.0125441;0.013583
0.0161964;0.0175283
0.0207076;0.0223945
0.0262164;0.028327
0.0328659;0.0354746
0.040799;0.0439836
0.0501515;0.053991
0.061045;0.0656158
0.0735779;0.0789502
0.0878165;0.0940491
0.103785;0.110921
0.121458;0.129518
0.140751;0.149727
0.161512;0.171369
0.183524;0.194186
0.206495;0.217852
0.23007;0.241971
0.253829;0.266085
0.277302;0.289692
0.299984;0.312254
0.321348;0.333225
0.340866;0.352065
0.358034;0.36827
0.372389;0.381388
0.383531;0.391043
0.391144;0.396953
0.395007;0.398942
0.395007;0.396953
0.391144;0.391043
0.383531;0.381388
0.372389;0.36827
0.358034;0.352065
0.340866;0.333225
0.321348;0.312254
0.299984;0.289692
0.277302;0.266085
0.253828;0.241971
0.23007;0.217852
0.206495;0.194186
0.183523;0.171369
0.161512;0.149727
0.140751;0.129518
0.121458;0.110921
0.103785;0.0940491
0.0878165;0.0789502
0.0735779;0.0656158
0.061045;0.053991
0.0501515;0.0439836
0.0407989;0.0354746
0.0328659;0.0283271
0.0262164;0.0223945
0.0207076;0.0175283
0.0161964;0.013583
0.0125441;0.0104209
0.00962032;0.00791545
0.00730585;0.00595254
0.00549392;0.00443185
0.00409095;0.00326682
0.00301645;0.00238409
0.00220241;0.00172257
0.00159232;0.00123222
0.00113997;0.000872683
0.000808139;0.000611901
0.000567294;0.000424781
0.00039433;0.000291947
0.000271419;0.000198656
0.000184991;0.00013383
0.000124851;8.92615e-05
8.34371e-05;5.89431e-05
5.5215e-05;3.85352e-05
3.61812e-05;2.49425e-05
2.34768e-05;1.59837e-05
1.50842e-05;1.01408e-05
9.59696e-06;6.36983e-06
