Upwind;Solexacte
-1.2717e-06;8.97244e-07
2.0043e-07;1.48672e-06
1.84826e-06;2.43896e-06
3.38216e-06;3.9613e-06
5.44665e-06;6.36983e-06
8.68464e-06;1.01409e-05
1.37108e-05;1.59837e-05
2.14318e-05;2.49425e-05
3.317e-05;3.85352e-05
5.08299e-05;5.89431e-05
7.71225e-05;8.92617e-05
0.000115859;0.00013383
0.000172333;0.000198655
0.000253802;0.000291947
0.000370093;0.00042478
0.000534335;0.000611902
0.000763844;0.000872683
0.00108115;0.00123222
0.00151514;0.00172257
0.00210238;0.00238409
0.00288839;0.00326682
0.00392908;0.00443185
0.00529193;0.00595254
0.00705709;0.00791545
0.00931808;0.0104209
0.0121819;0.013583
0.0157687;0.0175283
0.0202098;0.0223945
0.025646;0.028327
0.0322229;0.0354746
0.0400866;0.0439836
0.0493768;0.053991
0.0602193;0.0656158
0.0727172;0.0789502
0.0869418;0.0940491
0.102922;0.110921
0.120636;0.129518
0.140003;0.149727
0.160874;0.171369
0.18303;0.194186
0.206182;0.217852
0.229968;0.241971
0.253964;0.266085
0.277694;0.289692
0.300643;0.312254
0.322274;0.333225
0.342049;0.352065
0.359452;0.36827
0.37401;0.381388
0.385314;0.391043
0.393039;0.396953
0.39696;0.398942
0.39696;0.396953
0.393039;0.391043
0.385314;0.381388
0.37401;0.36827
0.359452;0.352065
0.342049;0.333225
0.322274;0.312254
0.300643;0.289692
0.277694;0.266085
0.253964;0.241971
0.229968;0.217852
0.206182;0.194186
0.18303;0.171369
0.160874;0.149727
0.140003;0.129518
0.120636;0.110921
0.102922;0.094049
0.0869418;0.0789501
0.0727172;0.0656158
0.0602193;0.053991
0.0493768;0.0439836
0.0400866;0.0354746
0.0322229;0.028327
0.0256459;0.0223945
0.0202098;0.0175283
0.0157687;0.013583
0.0121819;0.0104209
0.00931808;0.00791545
0.00705709;0.00595253
0.00529192;0.00443185
0.00392908;0.00326682
0.00288839;0.00238409
0.00210238;0.00172257
0.00151514;0.00123222
0.00108115;0.000872683
0.000763844;0.000611903
0.000534334;0.000424781
0.000370092;0.000291947
0.000253802;0.000198656
0.000172333;0.00013383
0.000115859;8.92619e-05
7.71224e-05;5.89431e-05
5.08298e-05;3.85352e-05
3.31699e-05;2.49425e-05
2.14318e-05;1.59837e-05
1.37107e-05;1.01409e-05
8.68463e-06;6.36983e-06
5.44665e-06;3.9613e-06
3.38216e-06;2.43897e-06
