Upwind;sol exacte
-1.1041e-06;5.36104e-07
-9.53775e-07;8.97244e-07
2.44355e-07;1.48672e-06
1.81978e-06;2.43896e-06
3.51481e-06;3.9613e-06
5.74003e-06;6.36983e-06
9.13167e-06;1.01409e-05
1.43845e-05;1.59837e-05
2.24361e-05;2.49425e-05
3.46504e-05;3.85352e-05
5.2988e-05;5.89431e-05
8.02335e-05;8.92617e-05
0.000120294;0.00013383
0.000178582;0.000198655
0.000262508;0.000291947
0.00038208;0.00042478
0.000550652;0.000611902
0.000785793;0.000872683
0.00111032;0.00123222
0.00155345;0.00172257
0.00215207;0.00238409
0.00295206;0.00326682
0.00400962;0.00443185
0.00539251;0.00595253
0.00718105;0.00791545
0.0094688;0.0104209
0.0123627;0.013583
0.0159823;0.0175283
0.0204586;0.0223945
0.0259311;0.028327
0.0325446;0.0354746
0.0404432;0.0439836
0.0497648;0.053991
0.0606331;0.0656158
0.0731489;0.0789502
0.0873808;0.0940491
0.103356;0.110921
0.12105;0.129518
0.140379;0.149727
0.161195;0.171369
0.183279;0.194186
0.20634;0.217852
0.23002;0.241971
0.253897;0.266085
0.277499;0.289692
0.300314;0.312254
0.32181;0.333225
0.341456;0.352065
0.358741;0.36827
0.373197;0.381388
0.38442;0.391043
0.392088;0.396953
0.39598;0.398942
0.39598;0.396953
0.392088;0.391043
0.38442;0.381388
0.373197;0.36827
0.358741;0.352065
0.341456;0.333225
0.32181;0.312254
0.300314;0.289692
0.277499;0.266085
0.253897;0.241971
0.23002;0.217852
0.20634;0.194186
0.183279;0.171369
0.161195;0.149727
0.140379;0.129518
0.12105;0.110921
0.103356;0.094049
0.0873807;0.0789501
0.0731489;0.0656158
0.0606331;0.0539909
0.0497648;0.0439836
0.0404432;0.0354746
0.0325446;0.028327
0.0259311;0.0223945
0.0204586;0.0175283
0.0159823;0.013583
0.0123627;0.0104209
0.00946879;0.00791545
0.00718104;0.00595252
0.0053925;0.00443185
0.00400962;0.00326682
0.00295206;0.00238408
0.00215207;0.00172257
0.00155345;0.00123222
0.00111032;0.000872683
0.000785792;0.000611901
0.000550651;0.000424779
0.00038208;0.000291947
0.000262507;0.000198655
0.000178582;0.00013383
0.000120293;8.92615e-05
8.02335e-05;5.89429e-05
5.2988e-05;3.85352e-05
3.46504e-05;2.49424e-05
2.24361e-05;1.59837e-05
1.43845e-05;1.01408e-05
9.13166e-06;6.3698e-06
5.74002e-06;3.9613e-06
