Upwind;sol exacte
5.78777e-07;1.4161e-07
2.25971e-07;2.43004e-07
-3.49867e-07;4.12847e-07
-5.41719e-07;6.9442e-07
-4.72807e-09;1.15641e-06
1.19008e-06;1.9066e-06
2.85768e-06;3.11218e-06
5.06045e-06;5.02951e-06
8.20217e-06;8.04718e-06
1.2944e-05;1.27473e-05
2.01826e-05;1.99918e-05
3.11592e-05;3.10414e-05
4.76378e-05;4.77186e-05
7.21235e-05;7.26259e-05
0.000108134;0.000109434
0.000160548;0.000163256
0.000236052;0.000241127
0.000343692;0.000352596
0.000495554;0.000510465
0.000707575;0.000731664
0.00100049;0.00103828
0.00140093;0.00145873
0.00194258;0.00202905
0.00266748;0.00279426
0.00362732;0.00380976
0.00488462;0.00514264
0.00651382;0.00687277
0.00860207;0.00909356
0.0112494;0.0119122
0.0145687;0.0154493
0.0186841;0.0198374
0.0237293;0.0252182
0.0298442;0.0317397
0.0371703;0.03955
0.0458453;0.048792
0.0559958;0.0595947
0.0677296;0.0720649
0.0811267;0.0862773
0.0962303;0.102265
0.113037;0.120009
0.131491;0.139431
0.151471;0.160383
0.172794;0.182649
0.195205;0.205936
0.218381;0.229882
0.241936;0.254059
0.265431;0.277985
0.288379;0.301137
0.31027;0.322972
0.330582;0.342944
0.348804;0.360527
0.364458;0.37524
0.377117;0.386668
0.386428;0.394479
0.392124;0.398444
0.394041;0.398444
0.392124;0.394479
0.386428;0.386668
0.377117;0.37524
0.364458;0.360527
0.348804;0.342944
0.330582;0.322972
0.31027;0.301137
0.288379;0.277985
0.265431;0.254059
0.241936;0.229882
0.218381;0.205936
0.195205;0.182649
0.172794;0.160383
0.151471;0.139431
0.131491;0.120009
0.113037;0.102265
0.0962303;0.0862773
0.0811267;0.0720648
0.0677296;0.0595947
0.0559958;0.048792
0.0458453;0.0395501
0.0371703;0.0317397
0.0298442;0.0252182
0.0237293;0.0198374
0.0186841;0.0154493
0.0145687;0.0119122
0.0112494;0.00909356
0.00860206;0.00687276
0.00651382;0.00514263
0.00488461;0.00380976
0.00362732;0.00279425
0.00266748;0.00202905
0.00194258;0.00145873
0.00140093;0.00103828
0.00100049;0.000731664
0.000707575;0.000510464
0.000495553;0.000352596
0.000343691;0.000241126
0.000236051;0.000163256
0.000160548;0.000109434
0.000108134;7.26258e-05
7.21235e-05;4.77186e-05
4.76378e-05;3.10414e-05
3.11591e-05;1.99917e-05
2.01826e-05;1.27473e-05
