Upwind;sol exacte
4.65791e-07;1.07698e-07
4.02374e-07;1.85736e-07
-6.1948e-08;3.17135e-07
-4.45793e-07;5.36104e-07
-2.73223e-07;8.97244e-07
5.92674e-07;1.48672e-06
2.02388e-06;2.43896e-06
3.95906e-06;3.9613e-06
6.63131e-06;6.36983e-06
1.05731e-05;1.01409e-05
1.65633e-05;1.59837e-05
2.56709e-05;2.49425e-05
3.93985e-05;3.85352e-05
5.98807e-05;5.89431e-05
9.01286e-05;8.92617e-05
0.000134341;0.00013383
0.0001983;0.000198655
0.000289872;0.000291947
0.000419623;0.00042478
0.000601564;0.000611902
0.000854034;0.000872683
0.00120071;0.00123222
0.00167175;0.00172257
0.00230503;0.00238409
0.0031474;0.00326682
0.00425597;0.00443185
0.00569922;0.00595254
0.00755795;0.00791545
0.00992576;0.0104209
0.0129091;0.013583
0.0166264;0.0175283
0.0212067;0.0223945
0.0267867;0.028327
0.0335072;0.0354746
0.0415078;0.0439836
0.0509205;0.053991
0.0618627;0.0656158
0.0744282;0.0789502
0.0886785;0.0940491
0.104634;0.110921
0.122264;0.129518
0.141481;0.149727
0.162133;0.171369
0.183999;0.194186
0.206793;0.217852
0.230159;0.241971
0.253684;0.266085
0.276905;0.289692
0.299325;0.312254
0.320426;0.333225
0.339693;0.352065
0.356631;0.36827
0.370788;0.381388
0.381772;0.391043
0.389276;0.396953
0.393083;0.398942
0.393083;0.396953
0.389276;0.391043
0.381772;0.381388
0.370788;0.36827
0.356631;0.352065
0.339693;0.333225
0.320426;0.312254
0.299325;0.289692
0.276905;0.266085
0.253684;0.241971
0.230159;0.217852
0.206793;0.194186
0.183999;0.171369
0.162133;0.149727
0.141481;0.129518
0.122264;0.110921
0.104634;0.094049
0.0886785;0.0789501
0.0744281;0.0656158
0.0618627;0.053991
0.0509205;0.0439836
0.0415078;0.0354746
0.0335072;0.028327
0.0267867;0.0223945
0.0212067;0.0175283
0.0166264;0.013583
0.0129091;0.0104209
0.00992575;0.00791545
0.00755794;0.00595252
0.00569922;0.00443185
0.00425596;0.00326682
0.0031474;0.00238409
0.00230503;0.00172257
0.00167175;0.00123222
0.00120071;0.000872683
0.000854034;0.000611901
0.000601564;0.000424781
0.000419622;0.000291947
0.000289871;0.000198655
0.0001983;0.00013383
0.000134341;8.92615e-05
9.01286e-05;5.89431e-05
5.98806e-05;3.85352e-05
3.93985e-05;2.49424e-05
2.56709e-05;1.59837e-05
