Upwind;Solexacte
3.01295e-07;2.43004e-07
-4.70407e-07;4.12847e-07
-7.59948e-07;6.9442e-07
-1.76572e-07;1.15641e-06
1.09418e-06;1.9066e-06
2.74852e-06;3.11218e-06
4.83949e-06;5.02951e-06
7.8143e-06;8.04718e-06
1.23406e-05;1.27473e-05
1.92805e-05;1.99918e-05
2.9829e-05;3.10414e-05
4.56981e-05;4.77186e-05
6.93261e-05;7.26259e-05
0.000104144;0.000109434
0.000154921;0.000163256
0.000228205;0.000241127
0.000332875;0.000352596
0.000480812;0.000510465
0.000687717;0.000731665
0.000974055;0.00103828
0.00136615;0.00145873
0.00189737;0.00202905
0.00260943;0.00279426
0.0035537;0.00380976
0.00479244;0.00514264
0.00639989;0.00687277
0.00846309;0.00909356
0.0110822;0.0119122
0.0143703;0.0154493
0.018452;0.0198374
0.023462;0.0252182
0.0295411;0.0317397
0.0368324;0.03955
0.0454752;0.048792
0.0555983;0.0595947
0.0673115;0.0720649
0.0806972;0.0862773
0.095801;0.102265
0.112622;0.120009
0.131105;0.139431
0.151132;0.160383
0.172518;0.182649
0.195009;0.205936
0.218282;0.229882
0.241949;0.254059
0.265565;0.277985
0.288643;0.301137
0.310666;0.322972
0.331107;0.342944
0.34945;0.360527
0.365211;0.37524
0.37796;0.386668
0.387338;0.394479
0.393075;0.398444
0.395007;0.398444
0.393075;0.394479
0.387338;0.386668
0.37796;0.37524
0.365211;0.360527
0.34945;0.342944
0.331107;0.322972
0.310666;0.301137
0.288643;0.277985
0.265565;0.254059
0.241949;0.229882
0.218282;0.205936
0.195009;0.182649
0.172518;0.160383
0.151132;0.139431
0.131105;0.120009
0.112622;0.102265
0.095801;0.0862773
0.0806972;0.0720648
0.0673115;0.0595947
0.0555982;0.048792
0.0454752;0.03955
0.0368324;0.0317397
0.0295411;0.0252182
0.023462;0.0198373
0.018452;0.0154493
0.0143703;0.0119122
0.0110822;0.00909355
0.00846308;0.00687277
0.00639988;0.00514264
0.00479243;0.00380976
0.0035537;0.00279426
0.00260943;0.00202905
0.00189737;0.00145873
0.00136615;0.00103828
0.000974054;0.000731664
0.000687716;0.000510466
0.000480812;0.000352596
0.000332874;0.000241127
0.000228205;0.000163257
0.000154921;0.000109434
0.000104144;7.2626e-05
6.9326e-05;4.77186e-05
4.56981e-05;3.10415e-05
2.9829e-05;1.99918e-05
1.92805e-05;1.27473e-05
1.23406e-05;8.0472e-06
