Upwind;sol exacte
-2.26335e-07;3.51395e-08
3.56722e-08;6.18262e-08
2.62099e-07;1.07698e-07
2.27952e-07;1.85736e-07
-2.20498e-08;3.17135e-07
-1.88775e-07;5.36103e-07
5.68821e-08;8.97244e-07
8.79496e-07;1.48672e-06
2.29427e-06;2.43896e-06
4.34631e-06;3.9613e-06
7.28148e-06;6.36982e-06
1.16154e-05;1.01409e-05
1.81491e-05;1.59837e-05
2.80204e-05;2.49425e-05
4.28306e-05;3.85352e-05
6.48378e-05;5.8943e-05
9.72097e-05;8.92617e-05
0.000144344;0.00013383
0.000212275;0.000198655
0.000309177;0.000291947
0.000445988;0.00042478
0.000637162;0.000611902
0.000901543;0.000872683
0.00126338;0.00123222
0.00175343;0.00172257
0.00241022;0.00238409
0.00328121;0.00326682
0.00442408;0.00443185
0.00590776;0.00595253
0.00781329;0.00791545
0.0102343;0.0104209
0.0132767;0.013583
0.0170584;0.0175283
0.0217068;0.0223945
0.0273569;0.028327
0.0341468;0.0354746
0.0422129;0.0439836
0.0516838;0.053991
0.0626723;0.0656158
0.075268;0.0789502
0.0895278;0.0940491
0.105468;0.110921
0.123053;0.129518
0.142194;0.149727
0.162736;0.171369
0.184459;0.194186
0.207075;0.217852
0.230235;0.241971
0.25353;0.266085
0.276503;0.289692
0.298666;0.312254
0.31951;0.333225
0.338531;0.352065
0.355244;0.36827
0.369207;0.381388
0.380038;0.391043
0.387434;0.396953
0.391186;0.398942
0.391186;0.396953
0.387434;0.391043
0.380038;0.381388
0.369207;0.36827
0.355244;0.352065
0.338531;0.333225
0.31951;0.312254
0.298666;0.289692
0.276503;0.266085
0.25353;0.241971
0.230235;0.217852
0.207075;0.194186
0.184459;0.171369
0.162736;0.149728
0.142194;0.129518
0.123053;0.110921
0.105468;0.0940491
0.0895278;0.0789502
0.075268;0.0656159
0.0626723;0.053991
0.0516838;0.0439836
0.0422129;0.0354746
0.0341468;0.0283271
0.0273569;0.0223945
0.0217068;0.0175283
0.0170584;0.013583
0.0132767;0.0104209
0.0102343;0.00791546
0.00781328;0.00595253
0.00590775;0.00443185
0.00442408;0.00326682
0.00328121;0.00238408
0.00241022;0.00172257
0.00175343;0.00123222
0.00126338;0.000872683
0.000901542;0.000611901
0.000637162;0.000424779
0.000445988;0.000291947
0.000309176;0.000198655
0.000212275;0.00013383
0.000144344;8.92615e-05
9.72097e-05;5.89429e-05
6.48377e-05;3.85352e-05
