Upwind;Solexacte
5.36498e-07;1.85736e-07
-8.45563e-08;3.17135e-07
-6.15178e-07;5.36104e-07
-4.6826e-07;8.97244e-07
4.58804e-07;1.48672e-06
1.92135e-06;2.43896e-06
3.79401e-06;3.9613e-06
6.3269e-06;6.36983e-06
1.00774e-05;1.01409e-05
1.58105e-05;1.59837e-05
2.45547e-05;2.49425e-05
3.77636e-05;3.85352e-05
5.75121e-05;5.89431e-05
8.6735e-05;8.92617e-05
0.000129532;0.00013383
0.000191563;0.000198655
0.00028054;0.000291947
0.000406843;0.00042478
0.000584264;0.000611902
0.000830886;0.000872683
0.0011701;0.00123222
0.00163176;0.00172257
0.0022534;0.00238409
0.00308157;0.00326682
0.00417307;0.00443185
0.00559616;0.00595253
0.00743149;0.00791545
0.00977265;0.0104209
0.0127262;0.013583
0.0164112;0.0175283
0.020957;0.0223945
0.0265016;0.028327
0.0331868;0.0354746
0.0411538;0.0439836
0.0505367;0.053991
0.0614549;0.0656158
0.0740043;0.0789502
0.0882491;0.0940491
0.104211;0.110921
0.121863;0.129518
0.141118;0.149727
0.161825;0.171369
0.183764;0.194186
0.206646;0.217852
0.230116;0.241971
0.253757;0.266085
0.277104;0.289692
0.299655;0.312254
0.320886;0.333225
0.340278;0.352065
0.357331;0.36827
0.371585;0.381388
0.382649;0.391043
0.390207;0.396953
0.394041;0.398942
0.394041;0.396953
0.390206;0.391043
0.382649;0.381388
0.371585;0.36827
0.357331;0.352065
0.340278;0.333225
0.320886;0.312254
0.299655;0.289692
0.277104;0.266085
0.253757;0.241971
0.230116;0.217852
0.206646;0.194186
0.183764;0.171369
0.161825;0.149727
0.141118;0.129518
0.121863;0.110921
0.104211;0.0940491
0.0882491;0.0789501
0.0740043;0.0656158
0.0614548;0.053991
0.0505367;0.0439836
0.0411538;0.0354746
0.0331868;0.028327
0.0265015;0.0223945
0.020957;0.0175283
0.0164111;0.013583
0.0127262;0.0104209
0.00977265;0.00791546
0.00743148;0.00595253
0.00559616;0.00443184
0.00417307;0.00326682
0.00308157;0.00238408
0.0022534;0.00172257
0.00163176;0.00123222
0.0011701;0.00087268
0.000830885;0.000611901
0.000584264;0.000424779
0.000406843;0.000291947
0.00028054;0.000198655
0.000191563;0.00013383
0.000129532;8.92615e-05
8.67349e-05;5.89429e-05
5.75121e-05;3.85352e-05
3.77635e-05;2.49424e-05
2.45547e-05;1.59837e-05
1.58105e-05;1.01408e-05
