Upwind;sol exacte
-1.1163e-07;1.4777e-08
-1.83129e-07;2.63924e-08
-7.14872e-08;4.66688e-08
1.11866e-07;8.17018e-08
1.85472e-07;1.4161e-07
8.63791e-08;2.43003e-07
-4.34549e-08;4.12847e-07
5.7721e-08;6.9442e-07
6.14329e-07;1.15641e-06
1.74056e-06;1.9066e-06
3.51034e-06;3.11217e-06
6.09913e-06;5.02951e-06
9.89827e-06;8.04718e-06
1.55744e-05;1.27473e-05
2.41193e-05;1.99918e-05
3.69425e-05;3.10414e-05
5.60294e-05;4.77186e-05
8.41647e-05;7.26259e-05
0.000125222;0.000109434
0.000184531;0.000163256
0.000269336;0.000241126
0.000389367;0.000352596
0.000557522;0.000510465
0.000790685;0.000731664
0.00111067;0.00103828
0.00154527;0.00145873
0.00212944;0.00202905
0.00290648;0.00279426
0.00392923;0.00380976
0.00526125;0.00514264
0.00697768;0.00687276
0.00916589;0.00909356
0.0119256;0.0119122
0.0153683;0.0154493
0.0196161;0.0198374
0.0247995;0.0252182
0.0310538;0.0317397
0.038515;0.03955
0.0473137;0.048792
0.0575687;0.0595947
0.0693791;0.0720649
0.0828159;0.0862773
0.0979135;0.102265
0.114661;0.120009
0.132993;0.139431
0.152788;0.160383
0.173857;0.182649
0.195947;0.205936
0.21874;0.229882
0.241859;0.254059
0.264875;0.277985
0.287318;0.301137
0.308695;0.322972
0.328505;0.342944
0.346256;0.360527
0.36149;0.37524
0.373801;0.386668
0.382851;0.394479
0.388385;0.398444
0.390248;0.398444
0.388385;0.394479
0.382851;0.386668
0.373801;0.37524
0.36149;0.360527
0.346256;0.342944
0.328504;0.322972
0.308695;0.301137
0.287318;0.277985
0.264875;0.254059
0.241859;0.229882
0.21874;0.205936
0.195947;0.182649
0.173857;0.160383
0.152788;0.139431
0.132993;0.120009
0.114661;0.102265
0.0979135;0.0862773
0.0828159;0.0720648
0.0693791;0.0595947
0.0575687;0.048792
0.0473137;0.0395501
0.038515;0.0317397
0.0310538;0.0252183
0.0247995;0.0198374
0.0196161;0.0154493
0.0153683;0.0119123
0.0119256;0.00909356
0.00916589;0.00687278
0.00697768;0.00514264
0.00526125;0.00380976
0.00392923;0.00279426
0.00290647;0.00202905
0.00212944;0.00145873
0.00154527;0.00103828
0.00111067;0.000731664
0.000790685;0.000510466
0.000557521;0.000352596
0.000389366;0.000241127
0.000269336;0.000163257
0.00018453;0.000109434
0.000125222;7.2626e-05
