Upwind;Solexacte
-1.37191e-06;6.9442e-07
-5.35635e-07;1.15641e-06
1.02435e-06;1.9066e-06
2.61521e-06;3.11218e-06
4.41441e-06;5.02951e-06
7.06564e-06;8.04718e-06
1.11977e-05;1.27473e-05
1.75713e-05;1.99918e-05
2.73009e-05;3.10414e-05
4.19999e-05;4.77186e-05
6.39762e-05;7.26259e-05
9.64909e-05;0.000109434
0.000144096;0.000163257
0.000213068;0.000241127
0.000311947;0.000352596
0.000452214;0.000510465
0.000649089;0.000731665
0.000922496;0.00103828
0.00129814;0.00145873
0.00180876;0.00202905
0.00249539;0.00279426
0.00340874;0.00380977
0.0046105;0.00514264
0.00617451;0.00687276
0.00818759;0.00909356
0.01075;0.0119122
0.0139753;0.0154493
0.0179892;0.0198374
0.0229279;0.0252182
0.0289344;0.0317397
0.0361547;0.03955
0.0447317;0.048792
0.054798;0.0595947
0.0664683;0.0720649
0.0798295;0.0862773
0.094932;0.102265
0.111779;0.120009
0.13032;0.139431
0.150439;0.160383
0.171952;0.182649
0.194606;0.205936
0.218075;0.229882
0.241966;0.254059
0.265829;0.277985
0.289169;0.301137
0.311459;0.322972
0.332162;0.342944
0.350751;0.360527
0.366731;0.37524
0.379662;0.386668
0.389177;0.394479
0.395;0.398444
0.39696;0.398444
0.395;0.394479
0.389177;0.386668
0.379662;0.37524
0.366731;0.360527
0.350751;0.342944
0.332162;0.322972
0.311459;0.301137
0.289169;0.277985
0.265829;0.254059
0.241966;0.229882
0.218075;0.205936
0.194606;0.182649
0.171952;0.160383
0.150439;0.139431
0.13032;0.120009
0.111779;0.102265
0.094932;0.0862773
0.0798295;0.0720649
0.0664682;0.0595947
0.054798;0.048792
0.0447317;0.03955
0.0361547;0.0317397
0.0289344;0.0252182
0.0229279;0.0198374
0.0179892;0.0154493
0.0139753;0.0119122
0.01075;0.00909356
0.00818758;0.00687277
0.00617451;0.00514264
0.0046105;0.00380976
0.00340873;0.00279425
0.00249538;0.00202904
0.00180876;0.00145873
0.00129814;0.00103828
0.000922495;0.000731664
0.000649089;0.000510464
0.000452213;0.000352594
0.000311947;0.000241126
0.000213068;0.000163256
0.000144096;0.000109434
9.64908e-05;7.26258e-05
6.39761e-05;4.77184e-05
4.19999e-05;3.10414e-05
2.73009e-05;1.99917e-05
1.75713e-05;1.27473e-05
1.11977e-05;8.04716e-06
7.06564e-06;5.02948e-06
4.4144e-06;3.11217e-06
