Upwind;sol exacte
4.75629e-08;6.18262e-08
3.49343e-07;1.07698e-07
3.02148e-07;1.85736e-07
-4.18287e-08;3.17135e-07
-3.06689e-07;5.36103e-07
-9.98914e-08;8.97244e-07
7.34001e-07;1.48672e-06
2.14987e-06;2.43896e-06
4.14333e-06;3.9613e-06
6.94869e-06;6.36983e-06
1.10852e-05;1.01409e-05
1.73427e-05;1.59837e-05
2.68259e-05;2.49425e-05
4.10871e-05;3.85352e-05
6.23221e-05;5.8943e-05
9.36197e-05;8.92617e-05
0.000139277;0.00013383
0.000205203;0.000198655
0.000299416;0.000291947
0.00043267;0.00042478
0.000619197;0.000611902
0.000877586;0.000872683
0.0012318;0.00123222
0.00171231;0.00172257
0.00235731;0.00238409
0.00321395;0.00326682
0.00433964;0.00443185
0.00580309;0.00595253
0.00768522;0.00791545
0.0100796;0.0104209
0.0130926;0.013583
0.0168421;0.0175283
0.0214566;0.0223945
0.0270718;0.028327
0.0338272;0.0354746
0.0418608;0.0439836
0.0513029;0.053991
0.0622685;0.0656158
0.0748494;0.0789501
0.0891047;0.0940491
0.105053;0.110921
0.122661;0.129518
0.14184;0.149727
0.162437;0.171369
0.184231;0.194186
0.206936;0.217852
0.230198;0.241971
0.253608;0.266085
0.276705;0.289692
0.298995;0.312254
0.319968;0.333225
0.339111;0.352065
0.355936;0.36827
0.369995;0.381388
0.380902;0.391043
0.388352;0.396953
0.392131;0.398942
0.392131;0.396953
0.388352;0.391043
0.380902;0.381388
0.369995;0.36827
0.355936;0.352065
0.339111;0.333225
0.319968;0.312254
0.298995;0.289692
0.276705;0.266085
0.253608;0.241971
0.230198;0.217852
0.206936;0.194186
0.184231;0.171369
0.162436;0.149727
0.14184;0.129518
0.122661;0.110921
0.105053;0.094049
0.0891047;0.0789501
0.0748494;0.0656158
0.0622685;0.053991
0.0513029;0.0439836
0.0418608;0.0354746
0.0338272;0.028327
0.0270718;0.0223945
0.0214566;0.0175283
0.0168421;0.013583
0.0130926;0.0104209
0.0100796;0.00791544
0.00768521;0.00595253
0.00580308;0.00443185
0.00433964;0.00326682
0.00321395;0.00238409
0.0023573;0.00172257
0.00171231;0.00123222
0.0012318;0.000872683
0.000877586;0.000611903
0.000619196;0.000424781
0.00043267;0.000291947
0.000299416;0.000198656
0.000205203;0.00013383
0.000139277;8.92619e-05
9.36196e-05;5.89431e-05
6.23221e-05;3.85352e-05
4.10871e-05;2.49425e-05
