Upwind;Solexacte
-6.2721e-07;4.12847e-07
-1.02894e-06;6.9442e-07
-3.5471e-07;1.15641e-06
1.03207e-06;1.9066e-06
2.66729e-06;3.11218e-06
4.62742e-06;5.02951e-06
7.43585e-06;8.04718e-06
1.17581e-05;1.27473e-05
1.84103e-05;1.99918e-05
2.85433e-05;3.10414e-05
4.38192e-05;4.77186e-05
6.66108e-05;7.26259e-05
0.000100264;0.000109434
0.000149438;0.000163257
0.000220545;0.000241127
0.000322294;0.000352596
0.000466366;0.000510465
0.000668222;0.000731665
0.000948056;0.00103828
0.00133189;0.00145873
0.00185276;0.00202905
0.00255207;0.00279426
0.00348084;0.00380976
0.00470106;0.00514264
0.00628678;0.00687277
0.00832492;0.00909356
0.0109157;0.0119122
0.0141725;0.0154493
0.0182204;0.0198374
0.0231949;0.0252182
0.0292379;0.0317397
0.0364939;0.0395501
0.045104;0.048792
0.055199;0.0595947
0.066891;0.0720649
0.0802648;0.0862773
0.0953682;0.102265
0.112203;0.120009
0.130714;0.139431
0.150787;0.160383
0.172237;0.182649
0.19481;0.205936
0.21818;0.229882
0.241959;0.254059
0.265698;0.277985
0.288906;0.301137
0.311062;0.322972
0.331633;0.342944
0.350099;0.360527
0.365969;0.37524
0.378808;0.386668
0.388254;0.394479
0.394034;0.398444
0.39598;0.398444
0.394034;0.394479
0.388254;0.386668
0.378808;0.37524
0.365969;0.360527
0.350099;0.342944
0.331633;0.322972
0.311062;0.301137
0.288906;0.277985
0.265698;0.254059
0.241959;0.229882
0.21818;0.205936
0.19481;0.182649
0.172237;0.160383
0.150787;0.139431
0.130714;0.120009
0.112203;0.102265
0.0953682;0.0862773
0.0802648;0.0720649
0.066891;0.0595947
0.055199;0.048792
0.045104;0.03955
0.0364939;0.0317397
0.0292379;0.0252182
0.0231948;0.0198373
0.0182204;0.0154493
0.0141725;0.0119122
0.0109157;0.00909356
0.00832492;0.00687276
0.00628677;0.00514264
0.00470106;0.00380976
0.00348084;0.00279425
0.00255206;0.00202905
0.00185276;0.00145873
0.00133188;0.00103828
0.000948056;0.000731664
0.000668222;0.000510464
0.000466366;0.000352596
0.000322294;0.000241126
0.000220545;0.000163257
0.000149438;0.000109434
0.000100263;7.26258e-05
6.66107e-05;4.77186e-05
4.38192e-05;3.10414e-05
2.85432e-05;1.99918e-05
1.84103e-05;1.27473e-05
1.17581e-05;8.04716e-06
7.43584e-06;5.02951e-06
