Upwind;sol exacte
2.64604e-07;8.17018e-08
4.34082e-07;1.4161e-07
1.70213e-07;2.43004e-07
-2.5387e-07;4.12847e-07
-3.59508e-07;6.9442e-07
1.59725e-07;1.15641e-06
1.30828e-06;1.9066e-06
2.99147e-06;3.11218e-06
5.29519e-06;5.02951e-06
8.60219e-06;8.04718e-06
1.35682e-05;1.27473e-05
2.11171e-05;1.99918e-05
3.25347e-05;3.10414e-05
4.96396e-05;4.77186e-05
7.50047e-05;7.26259e-05
0.000112235;0.000109434
0.00016632;0.000163256
0.000244086;0.000241127
0.000354747;0.000352596
0.000510594;0.000510465
0.000727799;0.000731664
0.00102737;0.00103828
0.00143623;0.00145873
0.00198839;0.00202905
0.00272622;0.00279426
0.00370168;0.00380976
0.00497759;0.00514264
0.00662858;0.00687277
0.00874185;0.00909356
0.0114174;0.0119122
0.0147677;0.0154493
0.0189165;0.0198374
0.0239967;0.0252182
0.030147;0.0317397
0.0375075;0.03955
0.0462142;0.048792
0.0563916;0.0595947
0.0681454;0.0720649
0.0815533;0.0862773
0.0966562;0.102265
0.113449;0.120009
0.131873;0.139431
0.151807;0.160383
0.173066;0.182649
0.195396;0.205936
0.218476;0.229882
0.241921;0.254059
0.265294;0.277985
0.288115;0.301137
0.309876;0.322972
0.33006;0.342944
0.348162;0.360527
0.363709;0.37524
0.37628;0.386668
0.385524;0.394479
0.391179;0.398444
0.393083;0.398444
0.391179;0.394479
0.385524;0.386668
0.37628;0.37524
0.363709;0.360527
0.348162;0.342944
0.33006;0.322972
0.309876;0.301137
0.288115;0.277985
0.265294;0.254059
0.241921;0.229882
0.218476;0.205936
0.195396;0.182649
0.173066;0.160383
0.151807;0.139431
0.131873;0.120009
0.113449;0.102265
0.0966561;0.0862773
0.0815533;0.0720649
0.0681454;0.0595947
0.0563916;0.048792
0.0462142;0.03955
0.0375075;0.0317397
0.030147;0.0252182
0.0239967;0.0198374
0.0189165;0.0154493
0.0147677;0.0119123
0.0114174;0.00909356
0.00874185;0.00687276
0.00662858;0.00514264
0.00497759;0.00380976
0.00370168;0.00279426
0.00272622;0.00202905
0.00198839;0.00145873
0.00143623;0.00103828
0.00102737;0.000731664
0.000727799;0.000510466
0.000510593;0.000352596
0.000354747;0.000241126
0.000244085;0.000163257
0.00016632;0.000109434
0.000112235;7.2626e-05
7.50046e-05;4.77186e-05
4.96396e-05;3.10414e-05
3.25347e-05;1.99918e-05
