Upwind;Solexacte
-7.1418e-07;1.15641e-06
1.11504e-06;1.9066e-06
2.58148e-06;3.11218e-06
4.18285e-06;5.02951e-06
6.71045e-06;8.04718e-06
1.06588e-05;1.27473e-05
1.67627e-05;1.99918e-05
2.6101e-05;3.10414e-05
4.0239e-05;4.77186e-05
6.14208e-05;7.26259e-05
9.28242e-05;0.000109434
0.000138894;0.000163257
0.000205772;0.000241127
0.000301833;0.000352596
0.000438353;0.000510465
0.000630317;0.000731665
0.000897372;0.00103828
0.00126492;0.00145873
0.00176536;0.00202905
0.00243939;0.00279426
0.00333739;0.00380976
0.00452076;0.00514264
0.00606309;0.00687277
0.00805109;0.00909356
0.0105851;0.0119122
0.0137788;0.0154493
0.0177585;0.0198374
0.0226611;0.0252182
0.0286308;0.0317397
0.035815;0.0395501
0.0443582;0.048792
0.0543953;0.0595947
0.0660432;0.0720649
0.0793913;0.0862773
0.0944923;0.102265
0.111352;0.120009
0.129921;0.139431
0.150085;0.160383
0.171663;0.182649
0.194398;0.205936
0.217965;0.229882
0.24197;0.254059
0.265958;0.277985
0.289431;0.301137
0.311856;0.322972
0.332692;0.342944
0.351406;0.360527
0.367498;0.37524
0.380522;0.386668
0.390106;0.394479
0.395973;0.398444
0.397947;0.398444
0.395973;0.394479
0.390106;0.386668
0.380522;0.37524
0.367498;0.360527
0.351406;0.342944
0.332692;0.322972
0.311856;0.301137
0.289431;0.277985
0.265958;0.254059
0.24197;0.229882
0.217965;0.205936
0.194398;0.182649
0.171663;0.160383
0.150085;0.139431
0.129921;0.120009
0.111352;0.102265
0.0944923;0.0862773
0.0793913;0.0720649
0.0660432;0.0595947
0.0543953;0.048792
0.0443582;0.03955
0.0358149;0.0317397
0.0286308;0.0252182
0.0226611;0.0198374
0.0177585;0.0154494
0.0137788;0.0119122
0.0105851;0.00909356
0.00805109;0.00687277
0.00606309;0.00514264
0.00452076;0.00380976
0.00333739;0.00279426
0.00243939;0.00202905
0.00176536;0.00145873
0.00126492;0.00103828
0.000897371;0.000731664
0.000630316;0.000510466
0.000438352;0.000352596
0.000301832;0.000241126
0.000205772;0.000163257
0.000138894;0.000109434
9.28241e-05;7.2626e-05
6.14207e-05;4.77186e-05
4.0239e-05;3.10414e-05
2.61009e-05;1.99918e-05
1.67627e-05;1.27473e-05
1.06588e-05;8.0472e-06
6.71045e-06;5.02951e-06
4.18284e-06;3.11217e-06
2.58148e-06;1.9066e-06
